Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_28 16:21:02.622,83,O,1,2,  71,130,ERR,04007d8b89607100010004000400010019007e8b8960770001000400040001001400848b896033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000050a00868b8960600a010005000000
21_04_28 21:19:22.445,0,O,1,2,4213,4,ERR,5ad18960
21_04_28 21:19:45.485,2,O,1,2,4213,4,ERR,71d18960
21_04_28 21:20:07.660,4,O,1,2,4213,4,ERR,87d18960
21_04_28 21:22:57.461,6,O,1,2,4213,4,ERR,31d28960
21_04_28 21:22:58.402,9,I,2,1, 118,2,00000000,1342
21_04_28 21:23:01.017,83,O,1,2,  71,154,ERR,060044d28960710001000400040001001e0045d289607700010004000400010019004bd2896033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000050a004dd28960600a01000500000050d28960f0aa01000500000056d28960410a010005000000
21_04_28 21:23:02.615,12,I,2,1, 118,2,00000000,30f0
21_04_28 21:23:16.053,13,I,2,1,4216,66,00000000,8110161193145e007b0000002c0000001b0000000000080009000800090000200000e41ef73800003fd289605a040e0d018e1d19720e42d28960beaa00001a00f81e
21_04_28 21:23:16.053,14,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:23:46.080,33,I,2,1,4216,66,00000000,e704430fb60e96046b002602cafe3f00c40100000000080009000800090000301000dc1e013900005dd289605a04140e01901d19720e60d28960dcaa00001a00fc1e
21_04_28 21:23:46.080,34,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:24:13.394,0,O,1,2,4204,4,ERR,60090000
21_04_28 21:24:16.111,47,I,2,1,4216,66,00000000,5804aa112d141a04a501000050003d001b0000000000080009000900090000301000e01e0c3900007bd289605a04100f01a41d19720e7ed28960faaa00001a00001f
21_04_28 21:24:16.112,48,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:24:18.358,45,O,1,2,4204,4,ERR,60090000
21_04_28 21:24:21.266,50,O,1,2,4204,4,ERR,60090000
21_04_28 21:24:22.716,52,O,1,2,4204,4,ERR,60090000
21_04_28 21:25:16.252,60,I,2,1,4216,66,00000000,ae12201546137900b2000000390042001b000000000008000a000a00090000301000e01e20390000b7d289605a04121001a61d19720ebad2896036ab00001a00fc1e
21_04_28 21:25:16.252,61,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:25:46.413,65,I,2,1,4216,66,00000000,4f056812f7046f006300a604c1ff400019000000000008000a000a00090000301000d41e2a390000d5d289605a04121101a51d19720ed8d2896054ab00001a00dc1e
21_04_28 21:25:46.413,66,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:26:25.428,70,I,2,1,4216,66,00000000,15013c039800a900dd024600c4fd4300d4010000000008000a000a00090000301000801e35390000f6d289605a04121101a31d19720ef6d2896072ab0000bf013c1e
21_04_28 21:26:25.428,71,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:26:46.450,74,I,2,1,4216,66,00000000,5a00340126001d00ce000400c6fd4100d6010000000008000a000a00090000301000801e3f39000014d389605a04121101a51d19720e14d3896090ab00001a00d41e
21_04_28 21:26:46.450,75,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:27:16.472,77,I,2,1,4216,66,00000000,0d0014002600020002000400c3fd4100d6010000000008000a000a00090000301000801e4939000032d389605a04121101a41d19720e32d38960aeab0000c901d41e
21_04_28 21:27:16.472,78,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:27:46.513,80,I,2,1,4216,66,00000000,040004001f00010000000200c6fd4300d6010000000008000a000a00090000301000781e5339000050d389605a04111001a61d19720e50d38960ccab00009d00381e
21_04_28 21:27:46.513,81,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 21:28:07.316,54,O,1,2,4204,4,ERR,60090000
21_04_28 21:28:46.530,0,O,1,2,4212,4,ERR,00000000
21_04_28 21:28:47.443,86,I,1,2,4212,4,00000000,00000000
21_04_28 21:28:58.392,86,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:24.830,93,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:28.499,103,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:30.415,105,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:32.881,107,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:49.892,109,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:52.696,119,O,1,2,4212,4,ERR,00000000
21_04_28 21:29:55.077,121,O,1,2,4212,4,ERR,00000000
21_04_28 22:55:48.820,123,O,1,2,4212,4,ERR,00000000
21_04_28 22:55:50.522,135,I,2,1, 118,2,00000000,1242
21_04_28 22:56:23.679,149,I,2,1,4216,66,00000000,d40413066714ad0467002f01400040001c0000000000070006000700060000301000dc1e4040000011e889605a040f0e01a31e19720e13e889608ac00000bf01681e
21_04_28 22:56:23.679,150,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 22:56:53.930,153,I,2,1,4216,66,00000000,14053e15e214a5042b01000039003d001a0000000000070006000700070000301000e01e4a4000002fe889605a04130e019d1e19720e31e88960a8c000001a00fc1e
21_04_28 22:56:53.930,154,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 22:58:54.595,162,I,2,1,4216,66,00000000,e1129014ff1481009e0000002b003d00190000000000080007000800070000301000e81e72400000a7e889605a041411019f1e19720ea9e8896020c100001a00fc1e
21_04_28 22:58:54.595,163,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 22:59:22.804,169,I,2,1,4216,66,00000000,da117614ce14b500830000002f0041001b0000000000080008000800080000301000e41e7c400000c5e889605a04151101a51e19720ec7e889603ec100001a00fc1e
21_04_28 22:59:22.804,170,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 22:59:52.830,173,I,2,1,4216,66,00000000,49126b146513c900680000002c003f001b0000000000080008000800080000301000e41e86400000e3e889605a041611019e1e19720ee5e889605cc100001a00fc1e
21_04_28 22:59:52.830,174,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 23:00:22.863,177,I,2,1,4216,66,00000000,0a148314f614690000000000120000001b0000000000080008000800080000300000e81e9040000001e989605a041411018c1e19720e03e989607ac100001a00fc1e
21_04_28 23:00:22.863,178,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_28 23:00:52.893,183,I,2,1,4216,66,00000000,fd06cb120c1567003a010000390042001c0000000000080008000800080000301000e41e9a4000001fe989605a04151101a01d19720e21e9896098c100001a00041f
21_04_28 23:00:52.893,184,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
