21_04_26 16:34:38.573,7,I,1,2,FFF1,4,none,6c730d0a
21_04_26 16:44:31.668,0,O,1,2,4211,4,ERR,84030000
21_04_26 16:44:32.135,10,I,1,2,4211,4,none,84030000
21_04_26 19:36:10.596,10,O,1,2,4211,4,ERR,84030000
21_04_26 19:36:11.054,13,I,1,2,4211,4,none,84030000
21_04_26 19:54:01.851,13,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:12.902,15,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:42.400,17,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:44.825,19,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:46.694,21,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:47.693,24,I,2,1, 118,2,none,1142
21_04_26 19:54:49.022,23,O,1,2,4211,4,ERR,84030000
21_04_26 19:54:53.556,0,O,1,2,4204,4,ERR,60090000
21_04_26 19:54:54.923,28,O,1,2,4204,4,ERR,60090000
21_04_26 19:56:43.841,0,O,1,2,4202,0,ERR,none
21_04_26 19:56:49.076,38,O,1,2,4202,0,ERR,none
21_04_26 19:56:51.984,41,I,2,1,4201,73,none,7b563412588cef1760090000bc02f00a00001e0043484f4e4500000154454c4e45540000000200010000b40014000e38fa07000000000000000000000000000088130000409c000000
21_04_26 19:56:54.507,0,O,1,2,4214,0,ERR,none
21_04_26 19:56:59.007,43,O,1,2,4214,0,ERR,none
21_04_26 19:57:01.848,46,I,2,1,4223,96,none,423b8a010000000000000000080000000000000008000000de350000c1060000430a000000000000000000000000000000000000000000002300000000280000440100009a99013d100000000000000000000000000000000000000000000000
21_04_26 19:57:03.263,0,O,1,2,4213,4,ERR,0f1b8760
21_04_26 19:57:04.975,49,I,2,1, 118,2,none,1342
21_04_26 19:59:25.553,168,I,2,1,4216,66,none,09005301b8010100e8003a01a8ff33001d00000000000a000a000a000a0000301400d41edd210000971b87605904130f019f1d19700e9a1b87607c6500001a00dc1e
21_04_26 19:59:25.553,169,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 19:59:55.569,175,I,2,1,4216,66,none,0700ea003e0001008c000f00bbff09002d00000000000a000a000a000a0000300400dc1ee8210000b51b87605904130f968f1d19700eb81b87609a650000cd01481e
21_04_26 19:59:55.569,176,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 20:00:50.516,0,O,1,2,4212,4,ERR,00000000
21_04_26 20:00:52.254,220,I,2,1, 118,2,none,1242
21_04_26 20:00:55.631,221,I,2,1,4216,66,none,070021000d00010006000000bbff07003100000000000a000a0009000a0000300400d81efd210000f11b87605904110f968c1d19700ef41b8760d66500001a00e41e
21_04_26 20:00:55.631,222,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 20:01:25.663,226,I,2,1,4216,66,none,07000b001d00010000000100d1ff08001b000000000009000a0009000a0000300400d81e082200000f1c87605904110f01901d19700e121c8760f46500001a00e41e
21_04_26 20:01:25.663,227,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 20:01:55.689,228,I,2,1,4216,66,none,070009000f00010000000000cfff08001b000000000009000a0009000a0000300400d81e122200002d1c876059040f0e018c1d19700e301c8760126600001a00e41e
21_04_26 20:01:55.689,229,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 20:11:23.207,51,O,1,2,  71,108,ERR,0700761e8760710001000400040001005802771e87607500010004000400010058027d1e876007ab010019000a002800004804000c0000007e1e8760770001000400040001002d00841e8760400a010005000000891e8760410a0100050000008e1e87604d00010004000000
21_04_26 21:28:46.345,51,O,1,2,  71,108,ERR,070040328760710001000400040001005802413287607500010004000400010058024732876007ab010019000a002800004804000c00000048328760770001000400040001002d004e328760400a01000500000053328760410a010005000000583287604d00010004000000
21_04_26 21:28:49.303,245,I,2,1, 118,2,none,30f0
21_04_26 21:28:54.776,244,O,1,2,  71,108,ERR,070040328760710001000400040001005802413287607500010004000400010058024732876007ab010019000a002800004804000c00000048328760770001000400040001002d004e328760400a01000500000053328760410a010005000000583287604d00010004000000
21_04_26 21:28:57.655,248,I,2,1, 118,2,none,30f0
21_04_26 21:29:30.938,249,I,2,1,4216,66,none,e804ad1352159a04680100006e0000003000000000000c000c000c000b0000200000e41ee12800009730876059041512958c1e19700e99308760767a00001a00241f
21_04_26 21:29:30.938,250,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:29:40.334,247,O,1,2,  71,108,ERR,070040328760710001000400040001005802413287607500010004000400010058024732876007ab010019000a002800004804000c00000048328760770001000400040001002d004e328760400a01000500000053328760410a010005000000583287604d00010004000000
21_04_26 21:29:43.233,253,I,2,1, 118,2,none,30f0
21_04_26 21:30:24.547,0,O,1,2,4215,0,ERR,none
21_04_26 21:30:27.307,261,I,2,1,4216,66,none,8604c71411134504a1000000260000001a00000000000c000c000c000c0000200000e41eff280000ee3087605904151301951e19700ef0308760cc7a00001b00fc1e
21_04_26 21:30:27.308,262,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:30:39.414,252,O,1,2,  71,108,ERR,070040328760710001000400040001005802413287607500010004000400010058024732876007ab010019000a002800004804000c00000048328760770001000400040001002d004e328760400a01000500000053328760410a010005000000583287604d00010004000000
21_04_26 21:30:42.388,265,I,2,1, 118,2,none,30f0
21_04_26 21:31:01.034,266,I,2,1,4216,66,none,1a057a147214b4019c000000260000001c00000000000c000c000c000c0000200000e81e0a2900000f31876059041413018a2422700e11318760ee7a00001a00001f
21_04_26 21:31:01.034,267,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:31:31.082,268,I,2,1,4216,66,none,e3043b14e0149904930000001e0000001a00000000000c000c000c000c0000200000e81e142900002d31876059041412018e1e19700e303187600c7b00001a00001f
21_04_26 21:31:31.082,269,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:31:39.554,270,I,2,1,FFF0,3,none,0d0a0d
21_04_26 21:31:41.384,271,I,2,1,FFF0,33,none,0a09546f74616c20627974657320333930353631392c207573656420300d0a0d23
21_04_26 21:32:31.114,272,I,2,1,4216,66,none,a104e91372127e048e000000190000001b00000000000c000c000c000c0000200000e81e282900006931876059041413018c1e19700e6c318760487b00001b00001f
21_04_26 21:32:31.114,273,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:32:38.282,274,I,2,1,FFF0,1,none,43
21_04_26 21:32:43.844,275,I,2,1,FFF0,1,none,43
21_04_26 21:32:47.440,276,I,2,1,FFF0,2,none,0643
21_04_26 21:32:50.527,277,I,2,1,FFF0,1,none,06
21_04_26 21:32:52.531,278,I,2,1,FFF0,1,none,15
21_04_26 21:32:54.575,279,I,2,1,FFF0,2,none,0643
21_04_26 21:33:01.860,280,I,2,1,FFF0,1,none,43
21_04_26 21:33:02.995,281,I,2,1,4216,66,none,6f11d3131515490043000000200000001d00000000000c000c000c000c0000200000e81e322900008731876059041a14a18b2422700e8a318760667b00001800fc1e
21_04_26 21:33:02.995,282,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:33:05.161,283,I,2,1,FFF0,1,none,06
21_04_26 21:33:10.516,284,I,2,1,FFF0,38,none,0d0a323032312d30342d32365f312e62696e09095b303030315d2073697a653a3130380d0a0d
21_04_26 21:33:12.406,285,I,2,1,FFF0,35,none,0a09546f74616c20627974657320333930353631392c2075736564203234360d0a0d23
21_04_26 21:33:17.876,0,O,1,2,4230,17,ERR,323032312d30342d32365f312e62696e00
21_04_26 21:33:19.528,288,I,2,1, 118,2,none,3042
21_04_26 21:33:31.180,289,I,2,1,4216,66,none,bc04751220157904c0000000270000001c00000000000c000d000c000c0000200000e81e3c290000a531876059041915018c2422700ea8318760847b00001a00fc1e
21_04_26 21:33:31.180,290,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:34:01.196,294,I,2,1,4216,66,none,b3044311b414740489002000200000001d00000000000c000d000c000c0000300000e81e46290000c33187605904161401882422700ec6318760a27b00001900fc1e
21_04_26 21:34:01.196,295,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:34:10.290,48,O,1,2,4213,4,ERR,d2318760
21_04_26 21:34:11.991,298,I,2,1, 118,2,none,1342
21_04_26 21:34:16.458,292,O,1,2,  71,86,ERR,0600e5318760710001000400040001005802e6318760750001000400040001005802e7318760770001000400040001002d00ed318760400a010005000000f2318760410a010005000000f73187604d00010004000000
21_04_26 21:34:19.337,301,I,2,1, 118,2,none,30f0
21_04_26 21:34:31.270,302,I,2,1,4216,66,none,6e006f036203280023030b03d5ff00001c00000000000c000d000d000c0000300000e01e50290000e13187605904161401892422700ee4318760c07b00001a00f01e
21_04_26 21:34:31.270,303,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:35:01.268,323,I,2,1,4216,66,none,3000480258010a00c801e400d1ff07001b00000000000c000d000d000d0000300400dc1e5a290000ff31876059041c15018c2422700e02328760de7b00001800e81e
21_04_26 21:35:01.268,324,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:35:31.288,325,I,2,1,4216,66,none,10001c017d000300b5003000cfff09001b00000000000c000d000d000d0000300400d81e642900001d32876059041615018c2422700e20328760fc7b00001500e81e
21_04_26 21:35:31.288,326,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 21:35:50.448,327,I,2,1,FFF0,1,none,43
21_04_26 21:35:51.077,328,I,2,1,FFF0,1,none,15
21_04_26 21:35:58.710,329,I,2,1,FFF0,1,none,15
21_04_26 21:36:03.739,330,I,2,1,FFF0,1,none,15
21_04_26 21:36:08.726,331,I,2,1,FFF0,1,none,15
21_04_26 21:36:11.940,332,I,2,1,FFF0,2,none,0643
21_04_26 21:36:15.059,333,I,2,1,FFF0,1,none,06
21_04_26 21:36:17.079,334,I,2,1,FFF0,1,none,15
21_04_26 21:36:19.083,335,I,2,1,FFF0,2,none,0643
21_04_26 21:36:25.242,336,I,2,1,FFF0,1,none,43
21_04_26 21:36:25.750,287,O,1,2,4230,17,ERR,323032312d30342d32365f322e62696e00
21_04_26 21:36:30.258,338,O,1,2,4230,17,ERR,323032312d30342d32365f322e62696e00
21_04_26 21:36:32.690,340,O,1,2,4230,17,ERR,323032312d30342d32365f322e62696e00
21_04_26 21:36:36.134,343,I,2,1, 118,2,none,3042
21_04_26 21:36:39.603,342,O,1,2,4230,17,ERR,323032312d30342d32365f322e62696e00
21_04_26 21:37:03.230,348,I,2,1,4216,66,none,090025001000010007000000bbff09003200000000000c000d000d000d0000300400d01e822900007732876059041615988e2422700e7a328760567c00002f00dc1e
21_04_26 21:37:03.230,349,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
