Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:10:56.053;0;O;1;4;  2A;0;ERR;
21_04_30 21:10:59.133;0;O;1;2;FFE0;0;ERR;
21_04_30 21:11:00.921;139;I;2;1;FFE1;3;;002604
21_04_30 21:11:03.424;138;O;1;2;FFE0;0;ERR;
21_04_30 21:11:05.209;142;I;2;1;FFE1;3;;002604
21_04_30 21:11:08.415;143;I;2;1;4216;66;;c4123615ca13010000000000c1ff00002e0000000000fcfffcfffcfffcff00200000dc1e2319010067728c605a040500988b1e1a720e69728c603a4a03001a00f81e
21_04_30 21:11:08.415;144;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:11:08.990;0;O;1;2;4204;4;ERR;c0120000
21_04_30 21:11:14.081;141;O;1;2;FFE0;0;ERR;
21_04_30 21:11:19.265;148;O;1;2;FFE0;0;ERR;
21_04_30 21:12:18.663;136;O;1;4;  2A;0;ERR;
21_04_30 21:12:22.103;152;O;1;4;  2A;0;ERR;
21_04_30 21:12:25.782;154;O;1;4;  2A;0;ERR;
21_04_30 21:12:27.398;157;I;4;1;DE21;46;;8d11d9152615c800000000001e0000002d000000000064fe77fe7dfe70fe00200000e01e3e1901008541985a5a04
21_04_30 21:12:27.412;158;I;4;1;DE21;46;;a1118515a215de00000000002b0000002d000000000064fe77fe7dfe70fe00200000dc1e401901008941985a5a04
21_04_30 21:12:34.084;0;O;1;2;  71;168;ERR;0700ce728c60710001000400040001005e01d3728c60760001000400040001002c01f6728c602a00010004000000f8728c60a21d01001a000400aa000000fa728c60a31d01001a00040040420f00fc728c60a01d01001a000000fe728c60ad1d01001a004200005f2f6d656469612f53746f726167652f4443494d2f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d7072
21_04_30 21:12:35.775;161;I;2;1; 118;2;;30f0
21_04_30 21:12:47.507;162;I;4;1;DE24;0;;
21_04_30 21:12:52.503;163;I;4;1;DE24;0;;
21_04_30 21:12:57.541;165;O;1;1B;1DAD;32;ERR;315f2f6d656469612f53746f726167652f46696c65732f66696c653130303030
21_04_30 21:13:07.128;166;I;5;1;F204;115;;39b0e11337c105000000803f77e97128f1cb87a86b88b3a5688cbe2aa66ed6aa3f7c0da88539b0e11337c10500266d0c3f33a2413de963433e3d0c50bf0e5507abc8273eaa3084cea78539b0e11337c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:13:17.116;167;I;2;1;4216;66;;e90fee1503156f012b000000f8ff8d00190000000000fcfffdfffdfffdff00300800d81e4d190100df728c605a04020101961e19720ee1728c60b24a03001a00f41e
21_04_30 21:13:17.116;168;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:13:17.139;169;I;5;1;F204;115;;1d71621437c105000000803feb326129f1157ea9fd49a7a6a27f382bb04c51abd92e89a8851d71621437c10500495e0c3f9a124c3d4141473e9dd14fbf4ccc83abb0f6b6aa5f0863a8851d71621437c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:13:31.494;170;I;1A;1; 118;2;;a31d
21_04_30 21:13:33.494;171;I;1A;1;1DA1;8;;aa00000040420f00
21_04_30 21:13:55.024;156;O;1;4;  2A;0;ERR;
21_04_30 21:13:56.656;174;I;4;1;DE21;46;;ed105215ad145501fe0000004a009c002d000000000077fe89fe90fe83fe00300800e81e60190100e241985a5a04
21_04_30 21:13:57.633;175;I;5;1;F204;115;;08edc51637c105000000803ff5441a2b7c8a32ab9c8e65a888231b2c6dba36ac3aa166a98508edc51637c105001b0d0c3fa5957d3d538c593e8bab4ebfd1c663ac093d95ab979890a98508edc51637c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:14:17.199;177;O;1;1A;1DAF;50;ERR;6c73202d6c74202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352a20
21_04_30 21:14:17.259;178;I;5;1;F204;115;;99c0071837c105000000803fe71c912b8d1faaaba39ad7a8cf66562c919a80ac08989ea98599c0071837c105005edb0b3f08cc8b3d3a22633e6a064ebf04859fac4411cbabc574e9a98599c0071837c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:14:19.539;179;I;1A;1;1DAA;64;;353a3231353a61393162366237393466653632646332333437393539383935386430393930663a2f72756e2f537973436d64526573756c742e7478743a313730
21_04_30 21:14:20.530;180;I;1A;1; 118;2;;af1d
21_04_30 21:14:20.531;181;I;1A;1;1DAB;174;;010000002d72772d722d2d722d2d202020203120726f6f742020202020726f6f742020202020202020202020202030204170722033302030363a3336202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70670a2d72772d722d2d722d2d202020203120726f6f742020202020726f6f742020202020202020363333393439204170722033302030363a3336202f
21_04_30 21:14:21.552;182;I;1A;1;1DAB;49;;020000006d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352e6a70670a
21_04_30 21:14:21.920;183;I;1A;1;1DAC;0;;
