Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_30 21:10:59.133,0,O,1,2,FFE0,0,ERR,00000000
21_04_30 21:11:00.921,139,I,2,1,FFE1,3,00000000,002604
21_04_30 21:11:03.424,138,O,1,2,FFE0,0,ERR,00000000
21_04_30 21:11:05.209,142,I,2,1,FFE1,3,00000000,002604
21_04_30 21:11:08.415,143,I,2,1,4216,66,00000000,c4123615ca13010000000000c1ff00002e0000000000fcfffcfffcfffcff00200000dc1e2319010067728c605a040500988b1e1a720e69728c603a4a03001a00f81e
21_04_30 21:11:08.415,144,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:11:08.990,0,O,1,2,4204,4,ERR,c0120000
21_04_30 21:11:14.081,141,O,1,2,FFE0,0,ERR,00000000
21_04_30 21:11:19.265,148,O,1,2,FFE0,0,ERR,00000000
21_04_30 21:12:34.084,0,O,1,2,  71,168,ERR,0700ce728c60710001000400040001005e01d3728c60760001000400040001002c01f6728c602a00010004000000f8728c60a21d01001a000400aa000000fa728c60a31d01001a00040040420f00fc728c60a01d01001a000000fe728c60ad1d01001a004200005f2f6d656469612f53746f726167652f4443494d2f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d7072
21_04_30 21:12:35.775,161,I,2,1, 118,2,00000000,30f0
21_04_30 21:13:17.116,167,I,2,1,4216,66,00000000,e90fee1503156f012b000000f8ff8d00190000000000fcfffdfffdfffdff00300800d81e4d190100df728c605a04020101961e19720ee1728c60b24a03001a00f41e
21_04_30 21:13:17.116,168,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:14:38.280,187,I,2,1,4216,66,00000000,5510f20e7e15ca01000100005800a0001d0000000000fdfffdfffdfffdff00300800d01e6d19010039738c605a040602018e1e19720e3b738c600c4b03001a00fc1e
21_04_30 21:14:38.280,188,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:15:16.878,213,I,2,1,4216,66,00000000,2010bb04b504f3017b04760451fea000b50100000000fdfffdfffdfffdff003008006c1e7819010057738c605a0407039c921e19720e59738c602a4b03001a00dc1e
21_04_30 21:15:16.879,214,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:15:38.457,221,I,2,1,4216,66,00000000,f20e1806000507024102c40418009f001c0000000000fdfffdfffdfffdff00300800c01e8219010075738c605a04060301921e19720e77738c60484b03001a00d41e
21_04_30 21:15:38.457,222,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:16:08.562,230,I,2,1,4216,66,00000000,970fa610b814d201390096005b009c001c0000000000fdfffdfffdfffdff00300800d41e8c19010093738c605a04060301901e19720e95738c60664b03001a00f01e
21_04_30 21:16:08.563,231,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:17:07.672,252,I,2,1,4216,66,00000000,1e105f15481341010d01000053009c001b0000000000fdfffdfffdfffdff00300800d41ea0190100cf738c605a04070301911e19720ed1738c60a24b03001a00f41e
21_04_30 21:17:07.672,253,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:17:37.705,266,I,2,1,4216,66,00000000,1a0057035a010400f102ea0034ffa100190000000000fdfffdfffdfffdff00300800b01eaa190100ed738c605a04070301961d19720eef738c60c04b03001900a81e
21_04_30 21:17:37.705,267,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:18:07.732,286,I,2,1,4216,66,00000000,07006800060202002b008501d7ff01001b0000000000fdfffdfffdfffdff00300000cc1eb41901000b748c605a040c05018d1e19720e0d748c60de4b03001a00d81e
21_04_30 21:18:07.732,287,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:18:20.841,198,O,1,2,  76,74,ERR,05002b748c60760001000400040001002c014e748c602a0001000400000050748c60a21d01001a000400aa00000052748c60a31d01001a00040040420f0054748c60a01d01001a000000
21_04_30 21:18:22.569,293,I,2,1, 118,2,00000000,30f0
21_04_30 21:18:37.798,295,I,2,1,4216,66,00000000,07002e00330001000c000a00d7ff02001a0000000000fdfffdfffdfffdff00300000cc1ebe19010029748c605a04060401901e19720e2b748c60fc4b03001a00d81e
21_04_30 21:18:37.798,296,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:19:07.800,297,I,2,1,4216,66,00000000,070016000b00010003000000d9ff0000190000000000fdfffdfffdfffdff00200800cc1ec819010047748c605a040403018b1e19720e49748c601a4c03001a00dc1e
21_04_30 21:19:07.801,298,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:19:37.831,302,I,2,1,4216,66,00000000,090007000d00010000000000d7ff00001a0000000000fdfffdfffdfffdff00200800cc1ed319010065748c605a04040299921e19720e67748c60384c03001a00dc1e
21_04_30 21:19:37.831,303,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:20:53.144,146,O,1,2,4204,4,ERR,60090000
